date,1. open,2. high,3. low,4. close,5. volume
2019-03-04 09:31:00,10.27,10.27,10.27,10.27,0.0
2019-03-04 09:32:00,10.0655,10.0655,10.0655,10.0655,5289.0
2019-03-04 09:35:00,10.21,10.21,10.21,10.21,1442.0
2019-03-04 09:38:00,10.08,10.08,10.08,10.08,298.0
2019-03-04 09:39:00,10.105,10.105,10.05,10.05,9149.0
2019-03-04 09:40:00,10.1165,10.1165,10.1165,10.1165,609.0
2019-03-04 09:47:00,10.0,10.0,10.0,10.0,1083.0
2019-03-04 09:49:00,10.02,10.02,10.02,10.02,1721.0
2019-03-04 09:51:00,10.055,10.055,10.055,10.055,162.0
2019-03-04 09:55:00,10.05,10.05,10.05,10.05,2724.0
2019-03-04 09:56:00,9.84,9.84,9.84,9.84,261.0
2019-03-04 09:57:00,9.88,9.88,9.88,9.88,266.0
2019-03-04 10:00:00,9.84,9.84,9.84,9.84,111.0
2019-03-04 10:04:00,9.9172,9.9172,9.9172,9.9172,602.0
2019-03-04 10:07:00,10.0,10.0,10.0,10.0,110.0
2019-03-04 10:08:00,10.011,10.011,10.011,10.011,2638.0
2019-03-04 10:09:00,10.03,10.03,10.03,10.03,1705.0
2019-03-04 10:12:00,10.06,10.06,10.06,10.06,1267.0
2019-03-04 10:14:00,10.07,10.07,10.07,10.07,1000.0
2019-03-04 10:15:00,10.09,10.09,10.09,10.09,790.0
2019-03-04 10:16:00,10.05,10.05,10.05,10.05,1698.0
2019-03-04 10:18:00,10.0,10.0,10.0,10.0,1137.0
2019-03-04 10:19:00,9.99,9.99,9.99,9.99,3002.0
2019-03-04 10:20:00,9.98,9.98,9.98,9.98,106.0
2019-03-04 10:24:00,10.0,10.0,10.0,10.0,1117.0
2019-03-04 10:25:00,10.065,10.065,10.065,10.065,733.0
2019-03-04 10:27:00,10.08,10.08,10.08,10.08,1007.0
2019-03-04 10:29:00,10.08,10.08,10.07,10.07,1366.0
2019-03-04 10:34:00,10.07,10.07,10.07,10.07,100.0
2019-03-04 10:35:00,10.06,10.06,10.06,10.06,1500.0
2019-03-04 10:37:00,10.07,10.08,10.07,10.08,3571.0
2019-03-04 10:40:00,10.08,10.08,10.08,10.08,2309.0
2019-03-04 10:41:00,10.05,10.05,10.05,10.05,2055.0
2019-03-04 10:47:00,10.1,10.1,10.1,10.1,400.0
2019-03-04 10:48:00,10.1,10.1,10.1,10.1,301.0
